State,Filed week ended,Initial Claims
Kansas,06/28/1997,"1,650"
Kansas,07/05/1997,"1,976"
Kansas,07/12/1997,"1,993"
Kansas,07/19/1997,"1,616"
Kansas,07/26/1997,"1,561"
Kansas,08/02/1997,"1,529"
Kansas,08/09/1997,"1,677"
Kansas,08/16/1997,"2,053"
Kansas,08/23/1997,"1,787"
Kansas,08/30/1997,"1,559"
Kansas,09/06/1997,"1,591"
Kansas,09/13/1997,"1,506"
Kansas,09/20/1997,"1,282"
Kansas,09/27/1997,"1,747"
Kansas,10/04/1997,"1,402"
Kansas,10/11/1997,"1,678"
Kansas,10/18/1997,"1,445"
Kansas,10/25/1997,"1,500"
Kansas,11/01/1997,"1,719"
Kansas,11/08/1997,"1,717"
Kansas,11/15/1997,"1,902"
Kansas,11/22/1997,"1,791"
Kansas,11/29/1997,"1,393"
Kansas,12/06/1997,"3,014"
Kansas,12/13/1997,"4,280"
Kansas,12/20/1997,"2,462"
Kansas,12/27/1997,"3,369"
Kansas,01/03/1998,"3,019"
Kansas,01/10/1998,"3,817"
Kansas,01/17/1998,"3,126"
Kansas,01/24/1998,"2,220"
Kansas,01/31/1998,"2,108"
Kansas,02/07/1998,"1,742"
Kansas,02/14/1998,"1,822"
Kansas,02/21/1998,"1,873"
Kansas,02/28/1998,"1,798"
Kansas,03/07/1998,"1,729"
Kansas,03/14/1998,"2,932"
Kansas,03/21/1998,"2,979"
Kansas,03/28/1998,"2,258"
Kansas,04/04/1998,"1,755"
Kansas,04/11/1998,"1,944"
Kansas,04/18/1998,"1,414"
Kansas,04/25/1998,"1,498"
Kansas,05/02/1998,"2,611"
Kansas,05/09/1998,"2,033"
Kansas,05/16/1998,"1,386"
Kansas,05/23/1998,"1,256"
Kansas,05/30/1998,"1,435"
Kansas,06/06/1998,"1,147"
Kansas,06/13/1998,"4,485"
Kansas,06/20/1998,"1,435"
Kansas,06/27/1998,"2,107"
Kansas,07/04/1998,"2,089"
Kansas,07/11/1998,"2,029"
Kansas,07/18/1998,"1,812"
Kansas,07/25/1998,"1,566"
Kansas,08/01/1998,"1,657"
Kansas,08/08/1998,"1,505"
Kansas,08/15/1998,"1,419"
Kansas,08/22/1998,"1,341"
Kansas,08/29/1998,"1,183"
Kansas,09/05/1998,"1,115"
Kansas,09/12/1998,"1,154"
Kansas,09/19/1998,"1,406"
Kansas,09/26/1998,"1,333"
Kansas,10/03/1998,"1,618"
Kansas,10/10/1998,"1,747"
Kansas,10/17/1998,"1,458"
Kansas,10/24/1998,"1,478"
Kansas,10/31/1998,"1,601"
Kansas,11/07/1998,"1,731"
Kansas,11/14/1998,"2,356"
Kansas,11/21/1998,"2,721"
Kansas,11/28/1998,"1,611"
Kansas,12/05/1998,"1,780"
Kansas,12/12/1998,"2,737"
Kansas,12/19/1998,"2,504"
Kansas,12/26/1998,"2,378"
Kansas,01/02/1999,"3,708"
Kansas,01/09/1999,"4,798"
Kansas,01/16/1999,"4,325"
Kansas,01/23/1999,"2,110"
Kansas,01/30/1999,"2,618"
Kansas,02/06/1999,"2,103"
Kansas,02/13/1999,"2,296"
Kansas,02/20/1999,"1,778"
Kansas,02/27/1999,"2,024"
Kansas,03/06/1999,"1,861"
Kansas,03/13/1999,"1,911"
Kansas,03/20/1999,"1,796"
Kansas,03/27/1999,"2,050"
Kansas,04/03/1999,"1,792"
Kansas,04/10/1999,"2,008"
Kansas,04/17/1999,"1,994"
Kansas,04/24/1999,"1,758"
Kansas,05/01/1999,"1,833"
Kansas,05/08/1999,"2,336"
Kansas,05/15/1999,"1,552"
Kansas,05/22/1999,"1,741"
Kansas,05/29/1999,"1,713"
Kansas,06/05/1999,"1,657"
Kansas,06/12/1999,"2,320"
Kansas,06/19/1999,"1,666"
Kansas,06/26/1999,"1,636"
Kansas,07/03/1999,"2,346"
Kansas,07/10/1999,"2,834"
Kansas,07/17/1999,"2,609"
Kansas,07/24/1999,"1,777"
Kansas,07/31/1999,"1,680"
Kansas,08/07/1999,"1,598"
Kansas,08/14/1999,"1,962"
Kansas,08/21/1999,"2,053"
Kansas,08/28/1999,"1,851"
Kansas,09/04/1999,"1,936"
Kansas,09/11/1999,"1,393"
Kansas,09/18/1999,"1,462"
Kansas,09/25/1999,"1,421"
Kansas,10/02/1999,"1,707"
Kansas,10/09/1999,"1,821"
Kansas,10/16/1999,"1,448"
Kansas,10/23/1999,"1,535"
Kansas,10/30/1999,"1,413"
Kansas,11/06/1999,"1,681"
Kansas,11/13/1999,"1,364"
Kansas,11/20/1999,"1,918"
Kansas,11/27/1999,"2,197"
Kansas,12/04/1999,"1,986"
Kansas,12/11/1999,"2,978"
Kansas,12/18/1999,"2,599"
Kansas,12/25/1999,"4,084"
Kansas,01/01/2000,"2,497"
Kansas,01/08/2000,"3,470"
Kansas,01/15/2000,"2,370"
Kansas,01/22/2000,"1,858"
Kansas,01/29/2000,"2,793"
Kansas,02/05/2000,"2,827"
Kansas,02/12/2000,"1,774"
Kansas,02/19/2000,"1,702"
Kansas,02/26/2000,"1,928"
Kansas,03/04/2000,"4,426"
Kansas,03/11/2000,"1,676"
Kansas,03/18/2000,"1,856"
Kansas,03/25/2000,"2,068"
Kansas,04/01/2000,"1,598"
Kansas,04/08/2000,"2,290"
Kansas,04/15/2000,"1,579"
Kansas,04/22/2000,"1,484"
Kansas,04/29/2000,"1,478"
Kansas,05/06/2000,"1,634"
Kansas,05/13/2000,"1,479"
Kansas,05/20/2000,"1,538"
Kansas,05/27/2000,"1,802"
Kansas,06/03/2000,"2,138"
Kansas,06/10/2000,"1,864"
Kansas,06/17/2000,"1,879"
Kansas,06/24/2000,"1,691"
Kansas,07/01/2000,"1,753"
Kansas,07/08/2000,"2,824"
Kansas,07/15/2000,"2,066"
Kansas,07/22/2000,"1,969"
Kansas,07/29/2000,"1,737"
Kansas,08/05/2000,"1,724"
Kansas,08/12/2000,"1,734"
Kansas,08/19/2000,"1,775"
Kansas,08/26/2000,"1,625"
Kansas,09/02/2000,"1,698"
Kansas,09/09/2000,"1,408"
Kansas,09/16/2000,"1,547"
Kansas,09/23/2000,"1,549"
Kansas,09/30/2000,"1,563"
Kansas,10/07/2000,"3,911"
Kansas,10/14/2000,"1,773"
Kansas,10/21/2000,"1,624"
Kansas,10/28/2000,"2,544"
Kansas,11/04/2000,"2,409"
Kansas,11/11/2000,"2,334"
Kansas,11/18/2000,"3,061"
Kansas,11/25/2000,"1,728"
Kansas,12/02/2000,"2,434"
Kansas,12/09/2000,"2,518"
Kansas,12/16/2000,"5,471"
Kansas,12/23/2000,"7,355"
Kansas,12/30/2000,"4,041"
Kansas,01/06/2001,"2,924"
Kansas,01/13/2001,"6,640"
Kansas,01/20/2001,"2,700"
Kansas,01/27/2001,"2,620"
Kansas,02/03/2001,"3,213"
Kansas,02/10/2001,"2,895"
Kansas,02/17/2001,"3,296"
Kansas,02/24/2001,"4,247"
Kansas,03/03/2001,"3,701"
Kansas,03/10/2001,"2,301"
Kansas,03/17/2001,"2,536"
Kansas,03/24/2001,"2,323"
Kansas,03/31/2001,"1,863"
Kansas,04/07/2001,"4,795"
Kansas,04/14/2001,"2,688"
Kansas,04/21/2001,"1,962"
Kansas,04/28/2001,"2,257"
Kansas,05/05/2001,"2,122"
Kansas,05/12/2001,"2,023"
Kansas,05/19/2001,"2,255"
Kansas,05/26/2001,"2,497"
Kansas,06/02/2001,"3,468"
Kansas,06/09/2001,"3,013"
Kansas,06/16/2001,"2,768"
Kansas,06/23/2001,"2,424"
Kansas,06/30/2001,"2,697"
Kansas,07/07/2001,"3,654"
Kansas,07/14/2001,"2,478"
Kansas,07/21/2001,"2,488"
Kansas,07/28/2001,"2,447"
Kansas,08/04/2001,"2,657"
Kansas,08/11/2001,"2,043"
Kansas,08/18/2001,"2,528"
Kansas,08/25/2001,"2,100"
Kansas,09/01/2001,"1,932"
Kansas,09/08/2001,"2,689"
Kansas,09/15/2001,"1,958"
Kansas,09/22/2001,"2,784"
Kansas,09/29/2001,"2,341"
Kansas,10/06/2001,"2,336"
Kansas,10/13/2001,"2,831"
Kansas,10/20/2001,"4,695"
